#b l mag_J_2MASS mag_H_2MASS mag_K_2MASS mag_IRAC1 mag_IRAC2 mag_IRAC3 mag_IRAC4
-2.005217 335.000157 13.533 12.508 12.215 11.879 11.858 11.754 11.708
-2.043203 334.978401 14.246 13.215 12.817 12.542 12.843 12.201 12.16
-2.060139 334.989878 14.164 12.871 12.433 12.107 12.284 11.934 11.899
-2.000445 335.022985 12.925 12.614 12.444 12.194 12.282 12.137 12.457
-1.970117 334.983487 14.378 13.29 12.963 12.748 12.582 12.593 12.373
-2.010136 334.971873 12.841 11.508 10.982 10.67 10.854999 10.561 10.55
-2.055258 335.012685 12.059 10.895001 10.485 10.245 10.445 10.206 10.147
-2.028186 335.013287 11.972 10.723 10.259 9.93 10.135 9.907 9.836
-1.987456 335.01774 14.020001 12.86 12.469 12.127 12.322 12.139 11.978
-2.036736 334.980598 13.682 12.619 12.237001 11.998 12.214 11.924 11.786
-1.99902 335.072117 13.937 12.802 12.279 11.985 12.049 11.868 11.577
-2.020575 334.953044 13.389 12.041 11.526 11.177 11.283 11.109 11.112001
-2.067481 335.006789 13.751 12.491 12.13 11.775 11.864 11.669 11.721
-2.038864 335.014391 12.45 11.17 10.718 10.486 10.542 10.33 10.339
-1.96025 334.999377 13.343 12.739 12.481 12.367 12.192 12.167 12.117
-2.002925 334.935553 13.437 12.262999 11.828 11.604 11.604999 11.38 11.488
-1.995456 334.994601 13.389 12.309 11.887 11.566 11.715 11.599 11.623
-2.030167 335.011142 10.842 9.356 8.682 8.165 8.227 7.946 7.697
-1.987545 335.053781 14.879 13.771 13.369 13.282 13.153 12.424 12.262999
-2.042806 335.017399 13.624 12.647 12.318 12.085 12.03 12.064 11.805
-2.05877 334.988777 13.371 12.299 11.899 11.665 11.71 11.363 11.56
-2.042397 335.009874 10.262 9.328 9.034 8.792 8.991 8.837 8.737
-2.018822 335.020153 12.096 10.804 10.317 9.973 10.173 9.929 9.946
-1.997581 334.992917 12.76 11.962 11.664 11.494 11.472 11.406 11.28
-2.037656 335.026621 12.032 10.72 10.187 9.849 10.121 9.804 9.764
-1.990567 335.035261 13.679 12.762999 12.427 12.26 12.244 11.97 11.991
-2.028858 334.983506 14.829 13.516 13.059 12.743 12.66 12.539 12.309
-2.011275 334.96585 13.113 11.915 11.507 11.173 11.157 11.001 11.015
-2.01732 334.968606 14.267 13.098 12.683 12.335 12.38 12.107 12.103
-1.996661 335.020736 12.481 11.39 11.047 10.764 10.839 10.76 10.735
-2.01292 335.031618 13.166 12.167 11.852 11.552 11.668 11.523 11.451
-2.018306 334.980789 14.169 13.613 13.331 12.887 13.127 12.749 12.334
-1.942608 334.992456 13.883 12.85 12.466 12.233 12.178 12.029 11.957
-1.966903 334.961031 12.283 11.429 11.121 10.851 10.965 10.926 10.833
-1.963111 334.995339 13.95 12.981 12.58 12.244 12.503 12.221 12.331
-2.023764 334.970211 11.557 10.677 10.376 10.181 10.272 10.165 10.112001
-2.027872 334.991659 14.313 13.245 12.84 12.649 12.871 12.433 12.522
-1.976497 335.014126 13.124 12.181 11.785 11.712 11.641 11.528 11.368
-1.992647 334.972006 12.694 11.722 11.378 11.185 11.24 11.027 11.045
-1.99257 335.043441 13.101 12.0 11.584 11.286 11.342 11.353 11.316
-1.995556 334.962773 12.79 11.781 11.423 11.212 11.134 11.064 11.126
-2.000822 335.014557 14.604999 13.714 13.471 13.225 13.146 13.095 12.383
-1.997453 334.953435 13.862001 12.723 12.367 12.114 12.083 11.845 12.037
-1.936106 334.995384 14.479999 13.441 12.976 12.705 12.666 12.581 12.471
-1.974914 334.994519 13.578 12.449 12.126 11.966 11.877 11.925 11.851
-1.992208 334.97361 12.954 12.532 12.449 12.368 12.361 12.296 12.161
-1.974797 334.967989 12.374 11.424 11.068 10.76 10.971 10.851 10.729999
-2.03282 334.957499 11.31 10.020001 9.479 9.146 9.285 9.121 9.094
-2.016267 335.025109 13.073 11.897 11.511 11.227 11.301 11.182 11.208
-2.038986 335.038651 12.091 10.728 10.208 9.996 10.107 9.888 9.811
-2.048517 334.972634 13.854 12.678 12.293 11.936 11.957 12.009 11.88
-1.943489 334.980021 13.869 12.629 12.207 11.862001 11.934 11.799 11.953
-1.991664 334.9752 12.162 10.707 10.071 9.695 9.852 9.587 9.516
-2.015903 335.02393 13.939 12.898 12.545 12.081 12.329 12.424 12.305
-2.036428 334.973368 12.503 11.588 11.245 11.016 10.995 11.079 10.909
-2.041845 335.000771 12.381 11.121 10.627 10.412 10.459 10.373 10.224
-2.023561 335.013118 13.543 12.306 11.85 11.649 11.724 11.433 11.453
-1.977661 335.012903 10.659 9.422 8.902 8.608 8.681 8.523 8.488
-2.007672 334.957509 12.495 11.231 10.797 10.455 10.557 10.347 10.391
-2.063345 335.005361 11.059 10.231 9.962 9.845 9.938 9.795 9.72
-2.036095 334.968629 11.32 10.448 10.103 9.93 10.012999 9.916 9.89
-2.017578 334.961888 13.026 11.88 11.446 11.201 11.239 11.081 10.989
-1.953833 335.010949 14.216 13.111 12.755 12.553 12.408 12.121 12.104
